basis,keep_ratio,mean,std
block_dct_8,0.05,29.811678632400522,4.587904676603182
block_dct_8,0.1,33.642079606756376,4.777652208519725
block_dct_8,0.15,36.432789011558995,4.871371165070954
block_dct_8,0.2,38.794909877679494,4.896484631283228
block_fft_8,0.05,27.791124318963785,4.052954767057343
block_fft_8,0.1,30.861023936102978,4.266379535207005
block_fft_8,0.15,33.12846034094207,4.392657119538597
block_fft_8,0.2,35.090669126608375,4.497306529253943
dct,0.05,28.23857327744257,3.8600037012481776
dct,0.1,30.732970140406064,4.01264749448279
dct,0.15,32.65074410428862,4.080786499939879
dct,0.2,34.332301341821164,4.126176495360563
entangled_qft,0.05,28.546383683612344,4.327104499115987
entangled_qft,0.1,31.406985640718148,4.5470941717276725
entangled_qft,0.15,33.661456304856074,4.697584667680791
entangled_qft,0.2,35.669766934210955,4.83290887434439
fft,0.05,27.403750127097428,3.7484499512176908
fft,0.1,29.67316323215549,3.9517464506408064
fft,0.15,31.384335135924545,4.058257571503076
fft,0.2,32.86704685591475,4.128540411572009
