basis,keep_ratio,mean,std
block_dct_8,0.05,0.8165099101601143,0.07874933793484493
block_dct_8,0.1,0.902324072441456,0.05091390642705483
block_dct_8,0.15,0.9389781528216737,0.035737906960503794
block_dct_8,0.2,0.9594198580390363,0.025626646900499494
block_fft_8,0.05,0.7524605397198676,0.08782058493679971
block_fft_8,0.1,0.8463738163322665,0.06307352173908765
block_fft_8,0.15,0.8926666745939782,0.04877719027807938
block_fft_8,0.2,0.9215673065667371,0.038756658592556024
block_pca_8,0.05,0.8099433890564931,0.07570239145751981
block_pca_8,0.1,0.8948253133328948,0.049414582986208086
block_pca_8,0.15,0.9330694922473666,0.03493268684458882
block_pca_8,0.2,0.9549092863129954,0.025239565643381468
dct,0.05,0.7527529942083863,0.08580926576888757
dct,0.1,0.8287370246614052,0.06767140418795284
dct,0.15,0.8725328014671844,0.055286675018749655
dct,0.2,0.902732821615965,0.045920231960764404
entangled_qft,0.05,0.7923076821956263,0.07883154429059577
entangled_qft,0.1,0.8670632256732255,0.05616345528527373
entangled_qft,0.15,0.9067613306120798,0.04251416235280158
entangled_qft,0.2,0.932344861836398,0.03289471109180276
fft,0.05,0.7298224956624736,0.09329801932997737
fft,0.1,0.8079241007272651,0.07528089328053172
fft,0.15,0.8527540595959843,0.0626348501698144
fft,0.2,0.8838616423271319,0.052900855476857224
pca,0.05,NaN,NaN
pca,0.1,NaN,NaN
pca,0.15,NaN,NaN
pca,0.2,NaN,NaN
