basis,keep_ratio,mean,std
block_dct_8,0.05,0.8165099101601143,0.07874933793484493
block_dct_8,0.1,0.902324072441456,0.05091390642705483
block_dct_8,0.15,0.9389781528216737,0.035737906960503794
block_dct_8,0.2,0.9594198580390363,0.025626646900499494
block_fft_8,0.05,0.7524605397198676,0.08782058493679971
block_fft_8,0.1,0.8463738163322665,0.06307352173908765
block_fft_8,0.15,0.8926666745939782,0.04877719027807938
block_fft_8,0.2,0.9215673065667371,0.038756658592556024
dct,0.05,0.7527529942083863,0.08580926576888757
dct,0.1,0.8287370246614052,0.06767140418795284
dct,0.15,0.8725328014671844,0.055286675018749655
dct,0.2,0.902732821615965,0.045920231960764404
fft,0.05,0.7298224956624736,0.09329801932997737
fft,0.1,0.8079241007272651,0.07528089328053172
fft,0.15,0.8527540595959843,0.0626348501698144
fft,0.2,0.8838616423271319,0.052900855476857224
qft,0.05,0.7872665754062116,0.08003469186889918
qft,0.1,0.8617690448014014,0.05762147523152366
qft,0.15,0.901905809482103,0.044115492706566437
qft,0.2,0.9281172771596862,0.034531328306629416
