basis,keep_ratio,mean,std
block_dct_8,0.05,0.0032351364579517395,0.0021322868804941916
block_dct_8,0.1,0.0016037859828065847,0.0011449116507051685
block_dct_8,0.15,0.000953272601836943,0.0007233212098807435
block_dct_8,0.2,0.0006058333186047093,0.00048441425765993355
block_dct_8_rank,0.05,0.007088055806234479,0.004278829402342593
block_dct_8_rank,0.1,0.0048382608569227156,0.0030990729476731683
block_dct_8_rank,0.15,0.003763181845424697,0.0024495776678782363
block_dct_8_rank,0.2,0.003009943307260983,0.002069915140236529
block_fft_8,0.05,0.004481271140393801,0.002713342812473903
block_fft_8,0.1,0.0025328569213161245,0.001630039894528383
block_fft_8,0.15,0.0016569579200586303,0.0011137518020966875
block_fft_8,0.2,0.001145404810013133,0.0008007449060781389
block_pca_8,0.05,0.003329422806538018,0.0021512834717228196
block_pca_8,0.1,0.0017030813012362382,0.0011853568570695876
block_pca_8,0.15,0.0010263749866521634,0.000754607679794545
block_pca_8,0.2,0.000658150275361489,0.0005073375800377576
block_pca_8_rank,0.05,0.00703394200714331,0.004242835125687202
block_pca_8_rank,0.1,0.004772008439138253,0.00306264441974059
block_pca_8_rank,0.15,0.0036819704248110445,0.002434240537399404
block_pca_8_rank,0.2,0.0029258340337921327,0.0020007601309826304
dct,0.05,0.0036414549476467073,0.0023484847097757352
dct,0.1,0.002195198368281126,0.001463891458930445
dct,0.15,0.0014845702738966794,0.001013721780347799
dct,0.2,0.0010520217471639626,0.0007325856704181737
dct_rank,0.05,0.00567900909576565,0.003645090082914215
dct_rank,0.1,0.00395284345606342,0.0026574531683165852
dct_rank,0.15,0.0030029463663231583,0.0020751372952245114
dct_rank,0.2,0.002337883501895703,0.0016354824591210337
fft,0.05,0.004372288094600663,0.002704903487919131
fft,0.1,0.0027700108441058545,0.0017905216719261599
fft,0.15,0.0019646530819591133,0.0013133842305724707
fft,0.2,0.0014590484122163616,0.0010021705253476679
pca,0.05,0.017195225251451417,0.007837110117890013
pca,0.1,0.017195225251451417,0.007837110117890013
pca,0.15,0.017195225251451417,0.007837110117890013
pca,0.2,0.017195225251451417,0.007837110117890013
pca_rank,0.05,0.017195225251451417,0.007837110117890013
pca_rank,0.1,0.017195225251451417,0.007837110117890013
pca_rank,0.15,0.017195225251451417,0.007837110117890013
pca_rank,0.2,0.017195225251451417,0.007837110117890013
qft,0.05,0.004067474141210954,0.0024451615447134904
qft,0.1,0.0024194706723927213,0.001534106302851154
qft,0.15,0.0016052612347213075,0.001063536850005922
qft,0.2,0.0011106675907100114,0.0007664922012330517
