basis,keep_ratio,mean,std
block_dct_8,0.05,26.113799712562695,3.624774827639563
block_dct_8,0.1,29.408267486841922,4.137008356173856
block_dct_8,0.15,31.86277287853919,4.507634945672907
block_dct_8,0.2,34.007107442323466,4.8029306935845435
block_dct_8_rank,0.05,22.354485252793054,2.8288210378270433
block_dct_8_rank,0.1,24.11110132023966,2.989791193360697
block_dct_8_rank,0.15,25.20401729446437,2.972198290877669
block_dct_8_rank,0.2,26.302738017144428,3.2254884731238502
block_fft_8,0.05,24.473455296205856,3.1806115943895352
block_fft_8,0.1,27.09888691757884,3.4750059306655423
block_fft_8,0.15,29.063035817798312,3.720835208459809
block_fft_8,0.2,30.785664798249833,3.960019066906252
block_pca_8,0.05,25.928338908981758,3.4985019342214603
block_pca_8,0.1,29.054874255432015,3.9444012144061076
block_pca_8,0.15,31.42456673168838,4.276371851402356
block_pca_8,0.2,33.510990902606906,4.554432190474599
block_pca_8_rank,0.05,22.383848663156215,2.819764079083924
block_pca_8_rank,0.1,24.167716055941536,2.9783043781386875
block_pca_8_rank,0.15,25.34711170358766,3.081453806757708
block_pca_8_rank,0.2,26.395763483539298,3.1571229937861407
dct,0.05,25.360332342507977,3.0436325867769827
dct,0.1,27.605718108404407,3.1292003251138585
dct,0.15,29.331892283428942,3.1781719873501197
dct,0.2,30.84661239837931,3.210166063524447
dct_rank,0.05,23.426994596198746,3.013766535419739
dct_rank,0.1,25.06016810706152,3.1000976310734023
dct_rank,0.15,26.28642943846356,3.1523829348782035
dct_rank,0.2,27.394447112777467,3.20822964477049
fft,0.05,24.49968192630874,2.9406797865901346
fft,0.1,26.53809150707204,3.0363149992663017
fft,0.15,28.068175847813073,3.09760697572969
fft,0.2,29.388728802893375,3.140630516224256
pca,0.05,18.152840413097362,2.1875026691566517
pca,0.1,18.152840413097362,2.1875026691566517
pca,0.15,18.152840413097362,2.1875026691566517
pca,0.2,18.152840413097362,2.1875026691566517
pca_rank,0.05,18.152840413097362,2.1875026691566517
pca_rank,0.1,18.152840413097362,2.1875026691566517
pca_rank,0.15,18.152840413097362,2.1875026691566517
pca_rank,0.2,18.152840413097362,2.1875026691566517
real_rich,0.05,25.97103749383297,3.579290844918525
real_rich,0.1,29.180907864010624,4.028930434259742
real_rich,0.15,31.586400638442715,4.340113760992019
real_rich,0.2,33.69681244748283,4.58516415479188
