basis,keep_ratio,mean,std
block_dct_8,0.05,0.7456429409437803,0.08029401760875556
block_dct_8,0.1,0.8574215111448198,0.05610518994123253
block_dct_8,0.15,0.9079769079358745,0.040960965052233914
block_dct_8,0.2,0.9371674888373804,0.03079547711600154
block_fft_8,0.05,0.6694705602577273,0.08173116066375742
block_fft_8,0.1,0.7877391803994661,0.06258094784808461
block_fft_8,0.15,0.848375806927907,0.05046872800844264
block_fft_8,0.2,0.8869194034564529,0.04146364941853043
block_pca_8,0.05,0.7368124760991364,0.07509067746103384
block_pca_8,0.1,0.8452435113084394,0.05371750650957837
block_pca_8,0.15,0.897882378953018,0.04041166042611719
block_pca_8,0.2,0.9292112087088442,0.030765255935485795
dct,0.05,0.7180923919526044,0.0737661755554892
dct,0.1,0.8052295085807079,0.06089113739028191
dct,0.15,0.8528841349123658,0.0521943924929838
dct,0.2,0.8852723577509832,0.045177924259557835
fft,0.05,0.6841024544664625,0.08166694969078116
fft,0.1,0.7761097595872383,0.06802711512105347
fft,0.15,0.8271939257079878,0.05935767212926042
fft,0.2,0.8613784495857756,0.05216430217900487
pca,0.05,0.23349586859328875,0.06705187288703143
pca,0.1,0.23349586859328875,0.06705187288703143
pca,0.15,0.23349586859328875,0.06705187288703143
pca,0.2,0.23349586859328875,0.06705187288703143
rich,0.05,0.7389580472932198,0.0804572925810606
rich,0.1,0.8506431023115233,0.05650482255875687
rich,0.15,0.9020524155006219,0.04161212002289261
rich,0.2,0.9322335296816492,0.03131888791224024
