basis,keep_ratio,mean,std
block_dct_8,0.05,0.7215160511538588,0.04886766625565642
block_dct_8,0.1,0.822454054497624,0.0355591170813193
block_dct_8,0.15,0.8731901661568727,0.034995548274868046
block_dct_8,0.2,0.906714465585179,0.03367691475104532
block_fft_8,0.05,0.6479539999839706,0.06038204531031564
block_fft_8,0.1,0.7605041316850827,0.04936036123365639
block_fft_8,0.15,0.8179294826487629,0.04493958456429443
block_fft_8,0.2,0.8578461126374484,0.04491824109921846
dct,0.05,0.5325690390727518,0.0510344390397533
dct,0.1,0.6285596559064693,0.06925399839478204
dct,0.15,0.6751236205085901,0.0751999561048935
dct,0.2,0.7048561166367387,0.07856396674370594
entangled_qft,0.05,0.6917709493032504,0.08927731163052835
entangled_qft,0.1,0.7935081342109673,0.06023241287788267
entangled_qft,0.15,0.8385696164789742,0.047855377177348994
entangled_qft,0.2,0.8724658024846025,0.04583833070090475
fft,0.05,0.47702447967522166,0.04410544533876743
fft,0.1,0.5901025677804309,0.0614732388332066
fft,0.15,0.6464361262617918,0.07125221378525882
fft,0.2,0.6843638390299351,0.07254230916160931
