basis,keep_ratio,mean,std
block_dct_8,0.05,0.7215160511538588,0.04886766625565642
block_dct_8,0.1,0.822454054497624,0.0355591170813193
block_dct_8,0.15,0.8731901661568727,0.034995548274868046
block_dct_8,0.2,0.906714465585179,0.03367691475104532
block_fft_8,0.05,0.6479539999839706,0.06038204531031564
block_fft_8,0.1,0.7605041316850827,0.04936036123365639
block_fft_8,0.15,0.8179294826487629,0.04493958456429443
block_fft_8,0.2,0.8578461126374484,0.04491824109921846
block_pca_8,0.05,0.621135685253794,0.04290379547398514
block_pca_8,0.1,0.7269460134276398,0.04839154283502945
block_pca_8,0.15,0.7728261950131526,0.05168388389306334
block_pca_8,0.2,0.8013962920740819,0.05004807619291651
dct,0.05,0.5325690390727518,0.0510344390397533
dct,0.1,0.6285596559064693,0.06925399839478204
dct,0.15,0.6751236205085901,0.0751999561048935
dct,0.2,0.7048561166367387,0.07856396674370594
fft,0.05,0.47702447967522166,0.04410544533876743
fft,0.1,0.5901025677804309,0.0614732388332066
fft,0.15,0.6464361262617918,0.07125221378525882
fft,0.2,0.6843638390299351,0.07254230916160931
pca,0.05,0.6142508994403503,0.062268552985215435
pca,0.1,0.6892465869046421,0.07234439707660123
pca,0.15,0.7256420750901126,0.07789270130813487
pca,0.2,0.751019511050021,0.0788506127852452
real_rich,0.05,0.8261611685403598,0.05039829416097483
real_rich,0.1,0.9139062408092444,0.02492972113962439
real_rich,0.15,0.9505621685795266,0.015071813752723514
real_rich,0.2,0.9672421139015778,0.012061676325342836
