basis,keep_ratio,mean,std
block_dct_8,0.05,0.0208663119841367,0.008492249731694372
block_dct_8,0.1,0.009919406669214368,0.005188427826927296
block_dct_8,0.15,0.005310077564790845,0.0033277233445870064
block_dct_8,0.2,0.002973047574632801,0.0021768335433750745
block_dct_8_rank,0.05,0.04604307435452938,0.011001064797851049
block_dct_8_rank,0.1,0.03422851763665676,0.008866459512008389
block_dct_8_rank,0.15,0.02733309008181095,0.006839511056662517
block_dct_8_rank,0.2,0.020999342128634454,0.005990313570448646
block_fft_8,0.05,0.027197601664811374,0.010223482690230658
block_fft_8,0.1,0.014989074310287833,0.0069577305689556695
block_fft_8,0.15,0.00921059881336987,0.005007250865854423
block_fft_8,0.2,0.005889888296369463,0.0037080325107016806
block_pca_8,0.05,0.0216109711550064,0.007590354957998964
block_pca_8,0.1,0.010152785199133946,0.004740571830405671
block_pca_8,0.15,0.005518302670335707,0.003066456622331668
block_pca_8,0.2,0.003173904668507192,0.0020099633603835013
block_pca_8_rank,0.05,0.04504006940670225,0.010611379401311068
block_pca_8_rank,0.1,0.033206532904919366,0.00868354244477252
block_pca_8_rank,0.15,0.02545679302225841,0.0070138936478757845
block_pca_8_rank,0.2,0.02013564317767122,0.005878599880820684
dct,0.05,0.025376474149525166,0.007110676367348119
dct,0.1,0.014955568760633468,0.0044379725496100095
dct,0.15,0.00972980421036482,0.002995304916587051
dct,0.2,0.006582279326394201,0.0020606951400771066
dct_rank,0.05,0.04279544271528721,0.011061733545853849
dct_rank,0.1,0.03101843494921923,0.008175079147148483
dct_rank,0.15,0.0233545639552176,0.006432226943302357
dct_rank,0.2,0.01796842338517308,0.005050163124164696
fft,0.05,0.030848570819944143,0.008122758543179849
fft,0.1,0.019327272661030293,0.005454182437069883
fft,0.15,0.013139002155512572,0.003921084635752372
fft,0.2,0.009240550324320793,0.0029244729961812946
pca,0.05,0.0177264045962566,0.0064313664097086784
pca,0.1,0.009177930503889653,0.003676399509981018
pca,0.15,0.005309378752270471,0.002284899168604177
pca,0.2,0.0032370562784332355,0.001462604940357908
pca_rank,0.05,0.02930624756763804,0.00965521247452729
pca_rank,0.1,0.01867243029761188,0.006971442059112405
pca_rank,0.15,0.01249886273031462,0.005230376839703643
pca_rank,0.2,0.008693281122704417,0.003820515593831751
rich,0.05,0.01545345606179801,0.008336566213250404
rich,0.1,0.005523856453061624,0.0038624602585380003
rich,0.15,0.0022464563918832277,0.001923360494677591
rich,0.2,0.000954455516246963,0.001001897682884377
