basis,keep_ratio,mean,std
block_dct_8,0.05,0.7215160511538588,0.04886766625565642
block_dct_8,0.1,0.822454054497624,0.0355591170813193
block_dct_8,0.15,0.8731901661568727,0.034995548274868046
block_dct_8,0.2,0.906714465585179,0.03367691475104532
block_fft_8,0.05,0.6479539999839706,0.06038204531031564
block_fft_8,0.1,0.7605041316850827,0.04936036123365639
block_fft_8,0.15,0.8179294826487629,0.04493958456429443
block_fft_8,0.2,0.8578461126374484,0.04491824109921846
dct,0.05,0.5325690390727518,0.0510344390397533
dct,0.1,0.6285596559064693,0.06925399839478204
dct,0.15,0.6751236205085901,0.0751999561048935
dct,0.2,0.7048561166367387,0.07856396674370594
fft,0.05,0.47702447967522166,0.04410544533876743
fft,0.1,0.5901025677804309,0.0614732388332066
fft,0.15,0.6464361262617918,0.07125221378525882
fft,0.2,0.6843638390299351,0.07254230916160931
rich,0.05,0.8308386967823848,0.05175059830101457
rich,0.1,0.9167656989725852,0.024866311031562876
rich,0.15,0.952120854791816,0.014814705501140259
rich,0.2,0.9705467421843632,0.011815733919118613
